Mode,Band,Node,Lv,x,y, tuning OK
0,1,00,0,0,0,0
0,1,01,0.00939370039850473,0.32829686999321,0.387159913778305,0
0,1,02,0.0345674008131027,0.302590936422348,0.319556355476379,0
0,1,03,0.085903100669384,0.307018876075745,0.30792036652565,0
0,1,04,0.196387603878975,0.301218658685684,0.322526097297668,0
0,1,05,0.391574114561081,0.305526942014694,0.318994611501694,0
0,1,06,0.595260679721832,0.303924202919006,0.328903198242188,0
0,1,07,1.25493931770325,0.305481672286987,0.324093848466873,0
0,1,08,2.07494974136353,0.304964512586594,0.32366818189621,0
0,1,09,2.98846960067749,0.305535882711411,0.323520481586456,0
0,1,10,5.77556228637695,0.304706662893295,0.323420822620392,0
0,1,11,9.64279556274414,0.305280596017838,0.321356147527695,1
0,1,12,14.5217666625977,0.305302023887634,0.320629149675369,1
0,1,13,20.5052280426025,0.305292934179306,0.320860028266907,1
0,1,14,27.6676902770996,0.304928421974182,0.320808529853821,1
0,1,15,45.5091896057129,0.304612517356873,0.320730358362198,1
0,1,16,68.3902740478516,0.305188775062561,0.320698708295822,1
0,1,17,96.4004898071289,0.305198788642883,0.321314036846161,1
0,1,18,129.363571166992,0.305260956287384,0.321457117795944,1
0,1,19,168.190338134766,0.304781407117844,0.320981353521347,1
0,1,20,379.899261474609,0.305338799953461,0.32055926322937,1
0,1,21,519.279052734375,0.304823696613312,0.321280211210251,1
0,1,22,560.428588867188,0.305018424987793,0.320561468601227,1
0,1,23,599.789916992188,0.305491000413895,0.320757925510406,1
0,1,24,0,0,0,0
//L area ---------------------------------------------------------
