Mode,Band,Channel,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21,node22,node23,node24
Mode[0],Band[1],Red,0,1,374,406,449,492,532,616,688,749,856,950,1026,1095,1158,1274,1366,1457,1537,1606,1867,1987,2019,2045,2045
Mode[0],Band[1],Green,0,1,381,394,413,441,456,518,575,630,722,804,877,942,1000,1102,1198,1279,1348,1415,1658,1759,1787,1806,1806
Mode[0],Band[1],Blue,0,1,547,583,623,666,708,791,866,930,1043,1139,1217,1286,1351,1469,1566,1658,1734,1809,2091,2211,2242,2268,2268
Mode[0],Band[2],Red,0,1,362,387,417,448,485,548,606,663,764,847,917,983,1039,1148,1232,1314,1387,1456,1679,1784,1805,1835,1835
Mode[0],Band[2],Green,0,1,374,387,400,415,433,469,513,564,643,719,779,837,892,988,1073,1148,1215,1277,1482,1577,1600,1620,1620
Mode[0],Band[2],Blue,0,1,534,564,591,626,657,723,781,840,945,1034,1105,1174,1230,1340,1426,1512,1588,1656,1889,1994,2023,2050,2050
Mode[0],Band[3],Red,0,1,344,370,388,404,432,473,517,566,646,723,784,846,902,992,1074,1146,1210,1269,1469,1551,1573,1597,1597
Mode[0],Band[3],Green,0,1,361,379,387,395,408,429,452,480,547,608,659,719,770,842,917,982,1042,1098,1285,1364,1385,1404,1404
Mode[0],Band[3],Blue,0,1,519,543,565,581,605,646,697,739,826,903,968,1033,1091,1180,1264,1338,1403,1464,1667,1755,1779,1796,1796
Mode[0],Band[4],Red,0,1,2,4091,53,5,6,7,8,9,10,11,700,751,795,889,959,1025,1085,1141,1324,1400,1414,1433,1433
Mode[0],Band[4],Green,0,1,2,4091,53,5,6,7,8,9,10,11,586,635,671,756,813,873,927,977,1153,1220,1237,1255,1255
Mode[0],Band[4],Blue,0,1,4093,4091,53,5,6,7,8,9,10,11,879,931,978,1077,1149,1216,1277,1333,1523,1598,1613,1633,1633
Mode[0],Band[5],Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4095,4095
Mode[0],Band[5],Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4095,4095
Mode[0],Band[5],Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4095,4095
Mode[0],Band[6],Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mode[0],Band[6],Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mode[0],Band[6],Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mode[0],Band[7],Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mode[0],Band[7],Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mode[0],Band[7],Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mode[0],Band[8],Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mode[0],Band[8],Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mode[0],Band[8],Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mode[0],Band[9],Red,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mode[0],Band[9],Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mode[0],Band[9],Blue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
