dbv,x,y,lv
0,0.2315,0.2993,0.0009
1,0.3042,0.3204,2.0088
2,0.3045,0.3213,2.0269
3,0.3044,0.3213,2.0258
4,0.3046,0.3218,2.0310
5,0.3042,0.3220,2.0392
6,0.3042,0.3222,2.0437
7,0.3042,0.3222,2.0549
8,0.3041,0.3220,2.0539
9,0.3040,0.3222,2.0668
10,0.3038,0.3225,2.0732
11,0.3037,0.3221,2.0735
12,0.3037,0.3219,2.0782
13,0.3036,0.3217,2.0813
14,0.3034,0.3206,2.1395
15,0.3037,0.3205,2.1398
16,0.3034,0.3204,2.1468
17,0.3035,0.3204,2.1504
18,0.3036,0.3207,2.1543
19,0.3036,0.3207,2.1590
20,0.3038,0.3207,2.1704
21,0.3038,0.3207,2.1723
22,0.3040,0.3208,2.1832
23,0.3038,0.3208,2.1836
24,0.3041,0.3210,2.1881
25,0.3041,0.3210,2.1944
26,0.3037,0.3189,2.2449
27,0.3035,0.3189,2.2531
28,0.3037,0.3192,2.2684
29,0.3039,0.3190,2.2766
30,0.3040,0.3188,2.2764
31,0.3041,0.3188,2.2805
32,0.3043,0.3186,2.2902
33,0.3041,0.3183,2.2978
34,0.3043,0.3189,2.2994
35,0.3044,0.3188,2.3124
36,0.3045,0.3187,2.3257
37,0.3044,0.3187,2.3221
38,0.3043,0.3177,2.3946
39,0.3040,0.3177,2.3957
40,0.3039,0.3174,2.3965
41,0.3040,0.3173,2.4070
42,0.3039,0.3173,2.4126
43,0.3038,0.3170,2.4155
44,0.3040,0.3175,2.4298
45,0.3039,0.3173,2.4333
46,0.3037,0.3172,2.4464
47,0.3036,0.3170,2.4378
48,0.3035,0.3172,2.4459
49,0.3036,0.3170,2.4551
50,0.3033,0.3161,2.5035
51,0.3034,0.3163,2.5045
52,0.3034,0.3164,2.5083
53,0.3036,0.3163,2.5246
54,0.3039,0.3166,2.5285
55,0.3039,0.3165,2.5335
56,0.3037,0.3153,2.5894
57,0.3041,0.3155,2.6012
58,0.3040,0.3157,2.6061
59,0.3039,0.3156,2.6207
60,0.3038,0.3157,2.6318
61,0.3035,0.3155,2.6297
62,0.3034,0.3155,2.6354
63,0.3034,0.3158,2.6554
64,0.3036,0.3163,2.6675
65,0.3037,0.3165,2.6749
66,0.3038,0.3163,2.6841
67,0.3037,0.3166,2.6951
68,0.3035,0.3153,2.7632
69,0.3036,0.3149,2.7675
70,0.3036,0.3147,2.7713
71,0.3036,0.3145,2.7862
72,0.3037,0.3147,2.7901
73,0.3033,0.3147,2.8015
74,0.3034,0.3143,2.8070
75,0.3036,0.3148,2.8064
76,0.3035,0.3145,2.8105
77,0.3035,0.3147,2.8253
78,0.3035,0.3145,2.8401
79,0.3033,0.3144,2.8351
80,0.3030,0.3131,2.9116
81,0.3030,0.3130,2.9149
82,0.3029,0.3129,2.9240
83,0.3028,0.3128,2.9304
84,0.3025,0.3127,2.9344
85,0.3027,0.3130,2.9382
86,0.3029,0.3128,2.9503
87,0.3029,0.3134,2.9617
88,0.3029,0.3133,2.9665
89,0.3031,0.3139,2.9790
90,0.3032,0.3138,2.9795
91,0.3033,0.3138,2.9977
92,0.3031,0.3128,3.0734
93,0.3032,0.3133,3.0928
94,0.3031,0.3133,3.0899
95,0.3031,0.3136,3.0959
96,0.3031,0.3138,3.1201
97,0.3029,0.3138,3.1225
98,0.3030,0.3138,3.1345
99,0.3032,0.3139,3.1487
100,0.3032,0.3136,3.1566
101,0.3033,0.3133,3.1679
102,0.3034,0.3133,3.1700
103,0.3034,0.3133,3.1955
104,0.3033,0.3130,3.1913
105,0.3037,0.3131,3.2002
106,0.3034,0.3131,3.2094
107,0.3036,0.3131,3.2200
108,0.3035,0.3132,3.2375
109,0.3036,0.3131,3.2435
110,0.3035,0.3121,3.3077
111,0.3036,0.3120,3.3135
112,0.3034,0.3118,3.3313
113,0.3032,0.3114,3.3393
114,0.3032,0.3115,3.3368
115,0.3033,0.3117,3.3416
116,0.3031,0.3119,3.3678
117,0.3029,0.3118,3.3765
118,0.3027,0.3119,3.3818
119,0.3027,0.3120,3.3880
120,0.3026,0.3120,3.4047
121,0.3026,0.3125,3.4290
122,0.3025,0.3119,3.5034
123,0.3026,0.3121,3.5141
124,0.3028,0.3125,3.5270
125,0.3030,0.3126,3.5350
126,0.3030,0.3131,3.5568
127,0.3032,0.3136,3.5730
128,0.3034,0.3131,3.5709
129,0.3031,0.3133,3.5851
130,0.3029,0.3131,3.5948
131,0.3029,0.3134,3.6117
132,0.3029,0.3130,3.6094
133,0.3029,0.3129,3.6152
134,0.3028,0.3119,3.7067
135,0.3031,0.3121,3.7284
136,0.3033,0.3124,3.7310
137,0.3033,0.3125,3.7421
138,0.3034,0.3124,3.7550
139,0.3034,0.3122,3.7703
140,0.3031,0.3120,3.7787
141,0.3030,0.3118,3.7917
142,0.3028,0.3114,3.7929
143,0.3030,0.3114,3.8092
144,0.3030,0.3113,3.8103
145,0.3032,0.3118,3.8241
146,0.3029,0.3113,3.8945
147,0.3030,0.3115,3.9096
148,0.3030,0.3112,3.9072
149,0.3029,0.3112,3.9236
150,0.3027,0.3112,3.9397
151,0.3026,0.3114,3.9507
152,0.3023,0.3116,3.9639
153,0.3021,0.3107,4.0478
154,0.3019,0.3108,4.0588
