,Mea_x,Mea_y,Mea_Lv
Gray:0,0.3065921,0.3213354,0.0009481,
Gray:1,0.2227842,0.2294276,0.0011431,
Gray:2,0.2028996,0.1257508,0.0031928,
Gray:3,0.2862359,0.2703535,0.0267963,
Gray:4,0.3032831,0.3097725,0.0657936,
Gray:5,0.3043954,0.3187201,0.1093284,
Gray:6,0.3064492,0.3115022,0.1509184,
Gray:7,0.3047458,0.3126223,0.2080252,
Gray:8,0.3057744,0.3164262,0.2768227,
Gray:9,0.3067375,0.3137096,0.344682,
Gray:10,0.3060519,0.3135107,0.4262151,
Gray:11,0.3070047,0.3119855,0.5249758,
Gray:12,0.3054687,0.3107377,0.6325426,
Gray:13,0.303652,0.3068418,0.7450515,
Gray:14,0.3031326,0.3050093,0.8988737,
Gray:15,0.3016081,0.3014211,1.048233,
Gray:16,0.301487,0.3000078,1.191267,
Gray:17,0.300308,0.3006841,1.350676,
Gray:18,0.301077,0.3029059,1.533762,
Gray:19,0.3008116,0.3000358,1.712154,
Gray:20,0.2992804,0.3003822,1.929395,
Gray:21,0.3008011,0.3012457,2.16685,
Gray:22,0.3015147,0.3004868,2.424757,
Gray:23,0.2985426,0.297979,2.66584,
Gray:24,0.299894,0.2984321,2.916167,
Gray:25,0.2989262,0.2992519,3.177721,
Gray:26,0.2997135,0.2984958,3.452073,
Gray:27,0.2997344,0.2997592,3.757206,
Gray:28,0.3000921,0.2983449,4.091166,
Gray:29,0.3001771,0.2999179,4.432089,
Gray:30,0.3003554,0.2996219,4.814636,
Gray:31,0.2996508,0.2984943,5.124471,
Gray:32,0.2998408,0.2976047,5.472531,
Gray:33,0.3001424,0.2980934,5.762599,
Gray:34,0.3005674,0.300009,6.142149,
Gray:35,0.3010235,0.3002254,6.511796,
Gray:36,0.3013817,0.3007207,6.856532,
Gray:37,0.3021477,0.3021396,7.348388,
Gray:38,0.30158,0.3023265,7.737294,
Gray:39,0.3023124,0.3031951,8.168491,
Gray:40,0.3025989,0.303799,8.703985,
Gray:41,0.3029016,0.3042526,9.153538,
Gray:42,0.3039913,0.3053679,9.723042,
Gray:43,0.3035,0.3060775,10.28462,
Gray:44,0.3043939,0.3063593,10.79942,
Gray:45,0.3041058,0.3070842,11.48807,
Gray:46,0.3042291,0.3072931,12.07516,
Gray:47,0.3056215,0.3066829,12.57679,
Gray:48,0.3046726,0.3073114,13.24634,
Gray:49,0.3045981,0.3074799,13.72177,
Gray:50,0.30563,0.3073891,14.23552,
Gray:51,0.3049693,0.306658,14.90281,
Gray:52,0.3049283,0.3076635,15.52158,
Gray:53,0.3054479,0.3081303,16.12659,
Gray:54,0.3052712,0.3062986,16.6625,
Gray:55,0.3052319,0.3075642,17.41495,
Gray:56,0.3055389,0.3081499,18.07851,
Gray:57,0.3060364,0.3070014,18.73492,
Gray:58,0.3057461,0.3074154,19.48171,
Gray:59,0.3054292,0.3085627,20.3543,
Gray:60,0.3064913,0.3079632,21.18361,
Gray:61,0.3061099,0.3071353,21.89842,
Gray:62,0.3053119,0.3081866,22.89116,
Gray:63,0.3060389,0.3072978,23.61078,
Gray:64,0.3058641,0.3065672,24.3649,
Gray:65,0.3057635,0.306738,25.11427,
Gray:66,0.3056476,0.3080489,26.00887,
Gray:67,0.3060487,0.3072971,26.92146,
Gray:68,0.3059504,0.3069948,27.67713,
Gray:69,0.3062725,0.3068917,28.45865,
Gray:70,0.3059864,0.3081279,29.47428,
Gray:71,0.3059766,0.3067946,30.41058,
Gray:72,0.3059691,0.3069397,31.29048,
Gray:73,0.3059583,0.3070858,32.13008,
Gray:74,0.3058848,0.3077437,33.15057,
Gray:75,0.3056746,0.3069999,34.36771,
Gray:76,0.3058377,0.3073466,35.34222,
Gray:77,0.3056519,0.3070408,36.25684,
Gray:78,0.3057208,0.3071063,37.36404,
Gray:79,0.305533,0.3068938,38.75308,
Gray:80,0.3056341,0.3063425,39.64727,
Gray:81,0.3052922,0.3059671,40.61696,
Gray:82,0.3049067,0.304626,41.55397,
Gray:83,0.3048352,0.3045413,43.0359,
Gray:84,0.3045569,0.3050926,44.34956,
Gray:85,0.3046815,0.3046742,45.3811,
Gray:86,0.3034834,0.3025925,46.3591,
Gray:87,0.3042387,0.3018259,47.54561,
Gray:88,0.3038821,0.3018322,48.75716,
Gray:89,0.3037648,0.3024267,50.18734,
Gray:90,0.3027519,0.3005591,51.39113,
Gray:91,0.3034082,0.3003305,52.6987,
Gray:92,0.3035677,0.2996553,53.73315,
Gray:93,0.3027336,0.2992025,55.34595,
Gray:94,0.3021533,0.2990925,56.83063,
Gray:95,0.3026734,0.2988073,58.20265,
Gray:96,0.303075,0.298404,59.49881,
Gray:97,0.302464,0.29701,60.79293,
Gray:98,0.3019852,0.2970927,62.28672,
Gray:99,0.3017881,0.297395,63.83485,
Gray:100,0.3026262,0.2970798,65.19248,
Gray:101,0.3016467,0.2956833,66.42762,
Gray:102,0.3016396,0.2947318,67.73813,
Gray:103,0.3013215,0.2950619,69.4245,
Gray:104,0.301771,0.2952985,71.07423,
Gray:105,0.3012279,0.2940594,72.9247,
Gray:106,0.3010473,0.2935107,74.19569,
Gray:107,0.3009912,0.2932937,75.67398,
Gray:108,0.3008761,0.2929868,77.29533,
Gray:109,0.3007947,0.2926293,79.41812,
Gray:110,0.3007807,0.2924558,80.96635,
Gray:111,0.3006574,0.2918368,82.49152,
Gray:112,0.3006683,0.2915238,83.80988,
Gray:113,0.3004311,0.2907656,85.09651,
Gray:114,0.3010784,0.2908663,86.69135,
Gray:115,0.3011972,0.2916448,88.10406,
Gray:116,0.3016134,0.2923121,89.65221,
Gray:117,0.3018062,0.2923931,91.22888,
Gray:118,0.3020982,0.2926848,92.81134,
Gray:119,0.3020733,0.291928,94.33076,
Gray:120,0.3027645,0.2920464,95.95779,
Gray:121,0.3027404,0.2931303,98.36736,
Gray:122,0.3029436,0.2936324,100.2514,
Gray:123,0.3030728,0.2938962,101.8395,
Gray:124,0.3037355,0.2937739,103.3692,
Gray:125,0.3038236,0.2930789,105.2669,
Gray:126,0.3039305,0.2935102,107.149,
Gray:127,0.3040363,0.2945026,109.011,
Gray:128,0.3041535,0.295246,111.125,
Gray:129,0.3047961,0.2959116,113.3732,
Gray:130,0.3050732,0.295211,115.3492,
Gray:131,0.3049537,0.2948796,116.9147,
Gray:132,0.3051027,0.2955925,119.0244,
Gray:133,0.3051582,0.2965073,121.2579,
Gray:134,0.3059227,0.2974396,123.6728,
Gray:135,0.3063167,0.297486,125.6893,
Gray:136,0.3058699,0.2968985,127.599,
Gray:137,0.306248,0.2970746,129.5645,
Gray:138,0.3064429,0.2977442,131.9848,
Gray:139,0.3065672,0.2987078,134.4711,
Gray:140,0.3075554,0.2991861,136.4885,
Gray:141,0.3075078,0.2996636,138.8969,
Gray:142,0.3074148,0.2990103,141.0928,
Gray:143,0.3075687,0.2989428,142.9853,
Gray:144,0.3072155,0.2990898,144.9592,
Gray:145,0.307471,0.2996875,147.3622,
Gray:146,0.3079734,0.2998928,149.566,
Gray:147,0.3072513,0.2991695,151.6126,
Gray:148,0.307092,0.2991527,153.5197,
Gray:149,0.3069073,0.2988963,155.3501,
Gray:150,0.3068759,0.2988708,157.3617,
Gray:151,0.3068284,0.2989076,159.1976,
