,Mea_x,Mea_y,Mea_Lv
R:0,0.2789033,0.2966743,0.0011686,
R:1,0.2869456,0.3768481,0.0011062,
R:2,0.2758844,0.2862252,0.0011044,
R:3,0.3830187,0.3752793,0.0011589,
R:4,0.5618233,0.3599524,0.0020279,
R:5,0.6358907,0.3200516,0.00585,
R:6,0.6593198,0.31892,0.014108,
R:7,0.6729972,0.3197875,0.0253115,
R:8,0.6732137,0.3163886,0.0400442,
R:9,0.6781925,0.3168559,0.0583084,
R:10,0.680604,0.3170634,0.0780509,
R:11,0.6792524,0.3159218,0.1028321,
R:12,0.679746,0.3154871,0.1307526,
R:13,0.6816146,0.3160271,0.159145,
R:14,0.6809113,0.3147322,0.1968164,
R:15,0.6803415,0.3154825,0.2369332,
R:16,0.681954,0.3159272,0.2738805,
R:17,0.6819975,0.3153906,0.3078072,
R:18,0.6821796,0.3163016,0.3538631,
R:19,0.6827111,0.3157987,0.4050478,
R:20,0.6828542,0.3155092,0.4508758,
R:21,0.6826223,0.3158512,0.5125243,
R:22,0.6822796,0.3155206,0.5802938,
R:23,0.6823843,0.3158367,0.6359239,
R:24,0.6828671,0.3158546,0.7011138,
R:25,0.6835546,0.3161057,0.754503,
R:26,0.6832338,0.3160599,0.8363567,
R:27,0.6831537,0.3156184,0.9045812,
R:28,0.6831053,0.3159387,0.9979248,
R:29,0.6831488,0.3160242,1.069942,
R:30,0.6830602,0.3159958,1.176319,
R:31,0.6832891,0.3159134,1.249064,
R:32,0.6833152,0.3159527,1.339768,
R:33,0.6833142,0.3158565,1.413869,
R:34,0.6833101,0.3158909,1.509416,
R:35,0.6831097,0.3159721,1.604831,
R:36,0.6834362,0.316035,1.681894,
R:37,0.6832945,0.3159803,1.806138,
R:38,0.683324,0.3159702,1.906345,
R:39,0.6832036,0.3160392,2.009743,
R:40,0.683341,0.3159694,2.138204,
R:41,0.6833627,0.3160169,2.249398,
R:42,0.6833372,0.3160697,2.402543,
R:43,0.6833341,0.3160184,2.520113,
R:44,0.6834335,0.3160215,2.643144,
R:45,0.6833334,0.3159003,2.825165,
R:46,0.6833717,0.3160337,2.972978,
R:47,0.6834247,0.3160837,3.139665,
R:48,0.6832879,0.3159803,3.264677,
