,ROUND_TYPE,ROUND_WI,ROUND_XC,ROUND_YC,ROUND_XR,ROUND_YR,ROUND_EX,ROUND_EY,ROUND_MX,ROUND_MY,ROUND_OPEN,ROUND_CAPU,ROUND_CAPD,ROUND_CAPL,ROUND_CAPR,ROUND_MAXU,ROUND_MAXD,ROUND_MAXL,ROUND_MAXR,R10,R11,R20,R21,R30,R31,R40,R41,G10,G11,G20,G21,G30,G31,G40,G41,B10,B11,B20,B21,B30,B31,B40,B41,EPPEN,EPPEN,EPP1R,EPP1G,EPP1B,EPP2R,EPP2G,EPP2B,XISE_I,CGON,EGEN,UPSE,HPLWI,HPLEN,XR_OFFS,YR_OFFS,XE_OFFS,YE_OFFS
Round1,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,255,255,255,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,0,0,8,8,8,8,8,8,,1,1,1,8,0,0,0,0,0
Round2,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,255,255,255,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,0,0,8,8,8,8,8,8,,1,1,1,8,0,0,0,0,0
Round3,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,255,255,255,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,0,0,8,8,8,8,8,8,,1,1,1,8,0,0,0,0,0
Round4,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,255,255,255,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,0,0,8,8,8,8,8,8,,1,1,1,8,0,0,0,0,0
Round5,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,255,255,255,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,0,0,8,8,8,8,8,8,,1,1,1,8,0,0,0,0,0
Round6,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,255,255,255,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,0,0,8,8,8,8,8,8,,1,1,1,8,0,0,0,0,0
Round7,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,255,255,255,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,0,0,8,8,8,8,8,8,,1,1,1,8,0,0,0,0,0
Round8,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,255,255,255,255,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,0,0,8,8,8,8,8,8,,1,1,1,8,0,0,0,0,0
Round9,0,4,0,0,0,0,0,0,0,0,15,,,,,,,,,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,,,,,,,,,1,1,1,0,8,0,0,0,0,0
Round10,0,4,0,0,0,0,0,0,0,0,15,,,,,,,,,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,,,,,,,,,1,1,1,0,8,0,0,0,0,0
RN_SRC_MUX,RN_PNL_MD,HPL_AOD_OFF,RN_AOD_OFF,RN_PNL_EN,RN_EN,T_R,T_G,T_B,B_R,B_G,B_B,L_R,L_G,L_B,R_R,R_G,R_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,256,256,256,256,256,256,256,256,256,256,256,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
