Name,CMD,Para,R/W,D7,D6,D5,D4,D3,D2,D1,D0,Initial(Hex),Owner,Description
GG_GSP,B0,1,RW,GSP1_ST_ADJ[3:0],,,,GSP2_ST_ADJ[3:0],,,,BA,Ricky,
,,2,RW,GSP3_ST_ADJ[3:0],,,,GSP4_ST_ADJ[3:0],,,,98,,
,,3,RW,GSP5_ST_ADJ[3:0],,,,GSP6_ST_ADJ[3:0],,,,12,,
,,4,RW,GSP7_ST_ADJ[3:0],,,,GSP8_ST_ADJ[3:0],,,,34,,
,,5,RW,GSP1_LEN[3:0],,,,GSP2_LEN[3:0],,,,44,,
,,6,RW,GSP3_LEN[3:0],,,,GSP4_LEN[3:0],,,,44,,
,,7,RW,GSP5_LEN[3:0],,,,GSP6_LEN[3:0],,,,44,,
,,8,RW,GSP7_LEN[3:0],,,,GSP8_LEN[3:0],,,,44,,
,,9,RW,GSP_RISE[7:0],,,,,,,,40,,
,,10,RW,GSP_R_PRECH[7:0],,,,,,,,4,,
,,11,RW,GSP_FALL[7:0],,,,,,,,40,,
,,12,RW,GSP_F_PRECH[7:0],,,,,,,,4,,
,,13,RW,GSP1_ST_CLR,GSP2_ST_CLR,GSP3_ST_CLR,GSP4_ST_CLR,GSP5_ST_CLR,GSP6_ST_CLR,GSP7_ST_CLR,GSP8_ST_CLR,0F,,
,,14,RW,GSP1_ENG_MODE,GSP2_ENG_MODE,GSP3_ENG_MODE,GSP4_ENG_MODE,GSP5_ENG_MODE,GSP6_ENG_MODE,GSP7_ENG_MODE,GSP8_ENG_MODE,0,,
,,15,RW,GSP1_INV,GSP2_INV,GSP3_INV,GSP4_INV,GSP5_INV,GSP6_INV,GSP7_INV,GSP8_INV,0,,
,,16,RW,GSP_DUM7,GSP_DUM6,GSP_DUM5,GSP_DUM4,GSP_DUM3,GSP_DUM2,GSP_DUM1,GSP_DUM0,0,,
GG_GCK,B1,1,RW,GCK_ST_ADJ[3:0],,,,GCK_LEN[3:0],,,,94,Ricky,
,,2,RW,GCK_PERIOD[1:0],,GCK_RST_VS,GCK_RST_EN,GCK_RST_ADJ[3:0],,,,94,,
,,3,RW,GCK_PCH_H,-,-,GCK_RST_VFP_EN,GCK_RST_VFP_ADJ[3:0],,,,2,,
,,4,RW,PCH_MASK_EN,GCK_MASK_EN,GCK_MASK_CLR,PCH_MASK_ADJ[4:0],,,,,9,,
,,5,RW,GCK_RISE[7:0],,,,,,,,40,,
,,6,RW,GCK_R_PRECH[7:0],,,,,,,,4,,
,,7,RW,GCK_FALL[7:0],,,,,,,,30,,
,,8,RW,GCK_F_PRECH[7:0],,,,,,,,4,,
,,9,RW,GCK_MASK_ADJ[3:0],,,,GCK_MASK_LEN[3:0],,,,54,,
,,10,RW,GCK_DUM7,GCK_DUM6,GCK_DUM5,GCK_DUM4,GCK_DUM3,GCK_DUM2,GCK_DUM1,GCK_DUM0,0,,
GG_MUX,B2,1,RW,-,GSP_MUX[2:0],,,GCK_MUX[3:0],,,,37,Ricky,
,,2,RW,GCH_INIT,-,-,GCH_ST_ADJ[4:0],,,,,9,,
,,3,RW,GCHL_GS,-,-,GCH_END_ADJ[4:0],,,,,8,,
,,4,RW,GCL_INIT,-,-,GCL_ST_ADJ[4:0],,,,,89,,
,,5,RW,MUX_P12,-,-,GCL_END_ADJ[4:0],,,,,8,,
,,6,RW,-,ACR[2:0],,,-,ACF[2:0],,,11,,
,,7,RW,-,AC2R[2:0],,,-,AC2F[2:0],,,22,,
,,8,RW,-,ACBR[2:0],,,-,ACBF[2:0],,,33,,
,,9,RW,GAS_ECLK_H,ACB2R[2:0],,,-,ACB2F[2:0],,,44,,
,,10,RW,ECLK_EN,ECLK_NUM[6:0],,,,,,,82,,
,,11,RW,GOA_RESET_INV,-,GOA_RESET[5:0],,,,,,18,,
,,12,RW,GG_DUM7,GG_DUM6,GG_DUM5,GG_DUM4,GG_DUM3,GG_DUM2,GG_DUM1,GG_DUM0,0,,
GOUTL,B3,1,RW,GOUT_SLP_SEL,-,GOUTL_SEL1[5:0],,,,,,3,Ricky,
,,2,RW,GOUT_SLP_STATE[1:0],,GOUTL_SEL2[5:0],,,,,,3,,
,,3,RW,-,-,GOUTL_SEL3[5:0],,,,,,3,,
,,4,RW,-,-,GOUTL_SEL4[5:0],,,,,,3,,
,,5,RW,-,-,GOUTL_SEL5[5:0],,,,,,3,,
,,6,RW,-,-,GOUTL_SEL6[5:0],,,,,,3,,
,,7,RW,-,-,GOUTL_SEL7[5:0],,,,,,3,,
,,8,RW,-,-,GOUTL_SEL8[5:0],,,,,,3,,
,,9,RW,-,-,GOUTL_SEL9[5:0],,,,,,3,,
,,10,RW,-,-,GOUTL_SEL10[5:0],,,,,,3,,
,,11,RW,-,-,GOUTL_SEL11[5:0],,,,,,3,,
,,12,RW,-,-,GOUTL_SEL12[5:0],,,,,,3,,
,,13,RW,-,-,GOUTL_SEL13[5:0],,,,,,3,,
,,14,RW,-,-,GOUTL_SEL14[5:0],,,,,,3,,
,,15,RW,-,-,GOUTL_SEL15[5:0],,,,,,3,,
,,16,RW,-,-,GOUTL_SEL16[5:0],,,,,,3,,
,,17,RW,-,-,GOUTL_SEL17[5:0],,,,,,3,,
,,18,RW,-,-,GOUTL_SEL18[5:0],,,,,,3,,
,,19,RW,-,-,GOUTL_SEL19[5:0],,,,,,3,,
,,20,RW,-,-,GOUTL_SEL20[5:0],,,,,,3,,
,,21,RW,-,-,GOUTL_SEL21[5:0],,,,,,3,,
,,22,RW,-,-,GOUTL_SEL22[5:0],,,,,,3,,
GOUTR,B4,1,RW,-,-,GOUTR_SEL1[5:0],,,,,,3,Ricky,
,,2,RW,-,-,GOUTR_SEL2[5:0],,,,,,3,,
,,3,RW,-,-,GOUTR_SEL3[5:0],,,,,,3,,
,,4,RW,-,-,GOUTR_SEL4[5:0],,,,,,3,,
,,5,RW,-,-,GOUTR_SEL5[5:0],,,,,,3,,
,,6,RW,-,-,GOUTR_SEL6[5:0],,,,,,3,,
,,7,RW,-,-,GOUTR_SEL7[5:0],,,,,,3,,
