
NO.,Register_Byte,Value,Result(V)
1,RB5_Byte5,0x10,-4.1296
2,RB5_Byte5,0x11,-4.2298
3,RB5_Byte5,0x12,-4.3294
4,RB5_Byte5,0x13,-4.5441
5,RB5_Byte5,0x14,-4.5331
6,RB5_Byte5,0x15,-4.6327
7,RB5_Byte5,0x16,-4.7363
8,RB5_Byte5,0x17,-4.8389
9,RB5_Byte5,0x18,-4.9393
10,RB5_Byte5,0x19,-5.0384
11,RB5_Byte5,0x1A,-5.1388
12,RB5_Byte5,0x1B,-5.2422
13,RB5_Byte5,0x1C,-5.3416
14,RB5_Byte5,0x1D,-5.4425
15,RB5_Byte5,0x1E,-5.5395
16,RB5_Byte5,0x1F,-5.6436
17,RB5_Byte5,0x20,-5.7462
18,RB5_Byte5,0x21,-5.8477
19,RB5_Byte5,0x22,-5.9479
20,RB5_Byte5,0x23,-6.0575
21,RB5_Byte5,0x24,-6.1689
22,RB5_Byte5,0x25,-6.2694
23,RB5_Byte5,0x26,-6.3713
24,RB5_Byte5,0x27,-6.4724
25,RB5_Byte5,0x28,-6.5731
26,RB5_Byte5,0x29,-6.6738
27,RB5_Byte5,0x2A,-6.7773
28,RB5_Byte5,0x2B,-6.8757
29,RB5_Byte5,0x2C,-6.9748
30,RB5_Byte5,0x2D,-7.1472
31,RB5_Byte5,0x2E,-7.1793
32,RB5_Byte5,0x2F,-7.2830
33,RB5_Byte5,0x30,-7.3829
34,RB5_Byte5,0x31,-7.4873
35,RB5_Byte5,0x32,-7.5829
36,RB5_Byte5,0x33,-7.6859
37,RB5_Byte5,0x34,-7.7831
38,RB5_Byte5,0x35,-7.8834
39,RB5_Byte5,0x36,-7.9885
40,RB5_Byte5,0x37,-8.0890
41,RB5_Byte5,0x38,-8.1909
42,RB5_Byte5,0x39,-8.2896
43,RB5_Byte5,0x3A,-8.3738
44,RB5_Byte5,0x3B,-8.4954
45,RB5_Byte5,0x3C,-8.5969
46,RB5_Byte5,0x3D,-8.6990
47,RB5_Byte5,0x3E,-8.7913
48,RB5_Byte5,0x3F,-8.8955
49,RB5_Byte5,0x40,-8.9980
50,RB5_Byte5,0x41,-9.0990
51,RB5_Byte5,0x42,-9.2039
52,RB5_Byte5,0x43,-9.3036
53,RB5_Byte5,0x44,-8.5576
54,RB5_Byte5,0x45,-9.5061
55,RB5_Byte5,0x46,-9.6034
56,RB5_Byte5,0x47,-9.6709
